Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Website,LinkedIn,Contact Email,Phone Number,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount
EVRYTHNG,https://www.crunchbase.com/organization/thngy,"Big Data, Cloud Data Services, Internet of Things, Software","New York, New York, United States","EVRYTHNG is the market leading IoT platform for consumer product brands, articulating data with real-time insights for billions of things.","2,832",http://Evrythng.com,http://www.linkedin.com/company/evrythng,info@evrythng.com,,"Andy Hobsbawm, Dominique Guinard, Niall Murphy, Vlad Trifa",Nov-50,4,Early Stage Venture,2/1/17,"$24,800,000 ",Series B,"$42,300,000 "
Anchor,https://www.crunchbase.com/organization/anchor-fm,"Apps, Audio, Broadcasting, Internet, Podcast","New York, New York, United States",Anchor is a fast-rising podcast app that layers community features on top of audio streaming.,"2,885",https://anchor.fm/,https://www.linkedin.com/company/anchor-fm,support@anchor.fm,,"Michael Mignano, Nir Zicherman",Nov-50,4,Early Stage Venture,9/28/17,"$10,000,000 ",Series A,"$14,400,000 "
Ollie,https://www.crunchbase.com/organization/ollie,"Animal Feed, Marketplace, Pet","New York, New York, United States","Ollie delivers freshly made dog food from real, human-grade ingredients your dog loves to eat, delivered to your door.","2,917",http://www.myollie.com,,info@myollie.com,18448865543,"Alexandre Douzet, Gabby Slome",Nov-50,2,Early Stage Venture,8/18/17,"$12,600,000 ",Series A,"$17,000,000 "
SEVENROOMS,https://www.crunchbase.com/organization/seven-rooms,"Enterprise Software, Hospitality, Hotel, Nightlife, Reservations, Restaurants, SaaS, Software","New York, New York, United States","A reservation, seating and guest management platform for hospitality operators. ","2,928",http://www.sevenrooms.com,https://www.linkedin.com/company/sevenrooms/,sales@sevenrooms.com,+1 212-242-5607,"Allison Page, Joel Montaniel, Kinesh Patel",Nov-50,6,Early Stage Venture,12/12/17,"$8,000,000 ",Series A,"$16,370,000 "
Socure Inc.,https://www.crunchbase.com/organization/socure,"FinTech, Identity Management, Machine Learning, Security, Social Media","New York, New York, United States",Socure is a predictive analytics platform for digital ID verification of consumers and businesses.,"2,944",http://www.socure.com,http://www.linkedin.com/company/socure,info@socure.com,(866) 932-9013,"Johnny Ayers, Sunil Madhu",Nov-50,6,Early Stage Venture,8/9/17,"$13,900,000 ",Series B,"$31,900,000 "
Body Labs,https://www.crunchbase.com/organization/body-labs,"3D Technology, Artificial Intelligence, Computer Vision, Developer APIs, Machine Learning","New York, New York, United States",Body Labs provides human-aware AI that understands the way we move and how we‰Ûªre shaped to make our world more personal.,"2,963",https://www.bodylabs.com,https://www.linkedin.com/company/body-labs,info@bodylabs.com,,"Alex Weiss, Bill O'Farrell, Eric Rachlin, Michael Black",Nov-50,2,M&A,11/3/15,"$11,000,000 ",Series A,"$13,200,000 "
Clarity Money,https://www.crunchbase.com/organization/clarity-money,"Big Data, Finance, Financial Services, Wealth Management","New York, New York, United States","Clarity Money empowers and saves you money with transformative financial organization, transparency and advocacy.","2,966",http://www.claritymoney.com,https://www.linkedin.com/company/clarity-money,info@claritymoney.com,(917)546-3915,"Adam Dell, Hossein Azari, Matt Jacobs",Nov-50,2,M&A,3/23/17,"$11,000,000 ",Series B,"$14,500,000 "
Moven,https://www.crunchbase.com/organization/moven,"Apps, Banking, Mobile, Real Time","New York, New York, United States","Moven is a disruptive mobile-centric banking app, described by Wired, Forbes and the New York Times as a ""bank of the future‰Ûù.","2,975",http://moven.com,http://www.linkedin.com/company/moven,support@moven.com,,"Alex Sion, Brett King",Nov-50,6,Late Stage Venture,1/31/18,"$23,000,000 ",Series C,"$47,410,000 "
Canvs,https://www.crunchbase.com/organization/mashwork,"Analytics, Social Media, Software","New York, New York, United States","Canvs offers an emotion analytics tool that can read, interpret, and categorize Emotional Reactions (ERs) in dialogue.","3,003",http://www.canvs.tv,https://www.linkedin.com/company/1865146,marketing@canvs.tv,,"Jared Feldman, Sam Hui",Nov-50,4,Early Stage Venture,3/7/17,,Series A,"$7,100,000 "
Cover,https://www.crunchbase.com/organization/pay-with-cover,"E-Commerce, Mobile Payments, Restaurants","New York, New York, United States","Cover offers a mobile payments app for restaurants, that automatically splits the bill and leaves a tip.","3,011",http://www.paywithcover.com,https://www.linkedin.com/company/cover-inc-,info@paywithcover.com,,"Andrew Cove, Mark Egerman",Nov-50,2,M&A,7/10/14,"$5,500,000 ",Series A,"$7,000,000 "
Electric (Electric AI),https://www.crunchbase.com/organization/electric,"Information Technology, Machine Learning, Small and Medium Businesses","New York, New York, United States",Electric is the world‰Ûªs first all-in-one IT support solution for small and midsize offices delivered in real-time.,"3,027",http://www.electric.ai,https://www.linkedin.com/company/electric-ai/,ryan@electric.ai,212-256-1747,Ryan Denehy,Nov-50,3,Early Stage Venture,3/28/18,"$9,250,000 ",Series A,"$12,250,000 "
Artivest,https://www.crunchbase.com/organization/artivest,"Financial Services, FinTech, Impact Investing, Wealth Management","New York, New York, United States",Artivest connects a wider audience of suitable investors with investment opportunities in top-quality private equity.,"3,039",http://www.artivest.co,http://www.linkedin.com/company/2908752,inquiries@artivest.co,2129510027,James Waldinger,Nov-50,3,Early Stage Venture,5/4/15,"$15,000,000 ",Series A,"$17,000,000 "
Overtime,https://www.crunchbase.com/organization/overtime,"Digital Media, Sports","Brooklyn, New York, United States",Overtime is a sports network for the next generation of fans.,"3,073",http://itsovertime.com/,https://www.linkedin.com/company/overtime---the-game-never-ends,hi@itsovertime.com,,Dan Porter,Nov-50,2,Early Stage Venture,2/14/18,"$9,500,000 ",Series A,"$12,000,000 "
Tokenize Inc.,https://www.crunchbase.com/organization/tokenize-inc,"Consumer Electronics, Hardware, Security","Rochester, New York, United States","Tokenize develops a biometric-based wearable ring that can make payments, power up a computer, and part doors.","3,079",https://tokenize.com/,https://www.linkedin.com/company-beta/11154733/,support@tokenize.com,,"Melanie Shapiro, Steve Shapiro",10-Jan,4,Early Stage Venture,2/28/18,"$5,000,000 ",Series A,"$8,250,000 "
Jetty,https://www.crunchbase.com/organization/jetty-2,"Consumer Software, Insurance, Property Insurance","New York, New York, United States","Jetty is a new kind of financial services company that empowers modern consumers to access the home, career & life they‰Ûªre working hard for.","3,089",http://www.jetty.com,https://www.linkedin.com/company/jetty.,hello@jetty.com,,"Luke Cohler, Michael Rudoy",Nov-50,2,Early Stage Venture,8/8/17,"$11,500,000 ",Series A,"$15,500,000 "
CB Insights,https://www.crunchbase.com/organization/cb-insights,"Analytics, Angel Investment, Database, Venture Capital","New York, New York, United States",CB Insights builts software that predicts what the next technology trend will be.,"3,118",http://cbinsights.com,https://www.linkedin.com/company/cb-insights,info@cbinsights.com,212 292 3148,"Anand Sanwal, Jonathan Sherry",Nov-50,3,Early Stage Venture,9/1/15,"$10,000,000 ",Series A,"$11,650,000 "
Rockets of Awesome,https://www.crunchbase.com/organization/rockets-of-awesome,"Children, E-Commerce, Personalization, Retail, Retail Technology","New York, New York, United States","Rockets of Awesome reinvents the way parents shop for kids by leveraging technology, data, brand, personalization, and merchandise.","3,120",https://www.rocketsofawesome.com/,https://www.linkedin.com/company/10785898?trk=prof-exp-company-name,help@rocketsofawesome.com,1(844)606-3363,Rachel Blumenthal,Nov-50,2,Early Stage Venture,1/3/17,"$12,500,000 ",Series A,"$19,500,000 "
Perch,https://www.crunchbase.com/organization/perch-34e2,"Commercial Real Estate, Property Management, Real Estate, Real Estate Investment","New York, New York, United States","Perch is transforming the way people buy and sell their homes by bringing simplicity, convenience, and certainty to the process.","3,249",https://www.perch.com,https://www.linkedin.com/company/perchhomes/,hello@perch.com,,"Court Cunningham, Phil DeGisi",Nov-50,2,Early Stage Venture,5/10/18,"$30,000,000 ",Series A,"$30,000,000 "
Spot.IM,https://www.crunchbase.com/organization/spotim,"Internet, Messaging, Mobile, Online Forums, Social Media, Web Development","New York, New York, United States",Spot.IM builds global communities around the web.,"3,382",http://www.spot.im,http://www.linkedin.com/company/spot-im,support@spot.im,,"Ishay Green, Nadav Shoval",Nov-50,3,Late Stage Venture,11/29/17,"$25,000,000 ",Series C,"$63,000,000 "
Simple Contacts,https://www.crunchbase.com/organization/simple-contacts,"Health Care, Medical, Personal Health","New York, New York, United States",Online eye exam and contact lens supplies,"3,459",https://www.simplecontacts.com,https://www.linkedin.com/company/simple-contacts,team@simplecontacts.com,+1 (877) 508-7467,"Joel Wishkovsky, Ryan Quigley",Nov-50,5,Early Stage Venture,5/18/18,"$16,000,000 ",Series B,"$26,000,000 "
Tailor Brands,https://www.crunchbase.com/organization/tailor-brands,"Brand Marketing, Consulting, Personal Branding","Brooklyn, New York, United States",Tailor Brands is a branding platform that enables users to freely design and create their product logos.,"3,519",http://www.tailorbrands.com,https://www.linkedin.com/company/5309961,contact@tailorbrands.com,,"Nadav Shatz, Yali Saar",Nov-50,3,Early Stage Venture,5/9/18,"$15,500,000 ",Series B,"$20,600,000 "
"Estimote, Inc.",https://www.crunchbase.com/organization/estimote,"Analytics, Big Data, Indoor Positioning, Internet of Things, Location Based Services, Mobile, Retail Technology, Sensor","New York, New York, United States","Estimote is a technology start-up, building a sensor-based context and micro-location platform for mobile developers","3,600",http://www.estimote.com,http://www.linkedin.com/company/estimote-inc-,contact@estimote.com,,"Jakub Krzych, Lukasz Kostka, Steve Cheney",Nov-50,3,Early Stage Venture,1/15/16,"$10,700,000 ",Series A,"$13,920,000 "
The.Wing,https://www.crunchbase.com/organization/the-wing,"Communities, Coworking, Women's","New York, New York, United States",The Wing is a work and community space for women.,"3,700",https://www.the-wing.com,https://www.linkedin.com/company/27098854/,sup@the-wing.com,,"Audrey Gelman, Lauren Kassan",Nov-50,4,Early Stage Venture,11/21/17,"$32,000,000 ",Series B,"$42,500,000 "
CareDox,https://www.crunchbase.com/organization/caredox,"Education, Health Care, Parenting","New York, New York, United States",CareDox delivers free health technology for K-12 public schools. We help school nurses deliver care and keep students safe.,"3,706",https://www.caredox.com,https://www.linkedin.com/company/caredox,service@caredox.com,(347) 696-7067,"Benjamin Maisano, Hesky Kutscher",Nov-50,9,Early Stage Venture,1/17/18,"$16,000,000 ",Series B,"$32,589,845 "
Parsley Health,https://www.crunchbase.com/organization/parsley-health,"Health Care, Health Diagnostics, Medical","New York, New York, United States","Parsley Health is redesigning primary care by integrating the latest in medical testing, technology and nutrition research. ","3,815",https://parsleyhealth.com/,https://www.linkedin.com/company/parsley-health/,hello@parsleyhealth.com,833-447-2775,Robin Berzin,Nov-50,3,Early Stage Venture,4/17/18,"$10,000,000 ",Series A,"$10,000,000 "
Maven Clinic,https://www.crunchbase.com/organization/maven-clinic,"Apps, Health Care","New York, New York, United States",Maven is a digital clinic that enables women to book video appointments with its network of health practitioners.,"3,845",http://www.mavenclinic.com,https://www.linkedin.com/company/maven-,hello@mavenclinic.com,,Katherine Ryder,Nov-50,3,Early Stage Venture,7/25/17,"$10,800,000 ",Series A,"$15,300,000 "
Grailed,https://www.crunchbase.com/organization/grailed,"Fashion, Marketplace, Retail","New York, New York, United States",Grailed is a NYC-based community-driven fashion marketplace.,"3,885",https://www.grailed.com/,https://www.linkedin.com/company/grailed/,help@grailed.com,,Julian Connor,Nov-50,1,Early Stage Venture,6/21/18,"$15,000,000 ",Series A,"$15,000,000 "
Hungryroot,https://www.crunchbase.com/organization/reimagined,"Delivery, Food and Beverage, Food Delivery","Manhattan, New York, United States",Hungryroot offers healthy packaged foods delivered to your doorstep.,"3,934",http://www.hungryroot.com,https://www.linkedin.com/company/reimagined-foods,help@hungryroot.com,(855) 222-0670,"Benjamin McKean, Franklin Becker, Gregory Struck",Nov-50,4,Early Stage Venture,3/22/18,"$22,000,000 ",Series B,"$35,400,000 "
Unacast,https://www.crunchbase.com/organization/unacast,"Advertising Platforms, Big Data, Internet of Things, Location Based Services, Mobile Advertising, Sensor","New York, New York, United States",Unacast built the Real World Graphå¨ and is the leading transparent and contextualized location data platform,"3,958",http://www.unacast.com,http://www.linkedin.com/company/5322538,hello@unacast.com,,"Kjartan Slette, Thomas Walle Jensen",Nov-50,3,Early Stage Venture,2/12/18,"$17,500,000 ",Series B,"$24,100,000 "
Emissary,https://www.crunchbase.com/organization/emissary,"CRM, Enterprise Software, SaaS","New York, New York, United States",Emissary offers a platform that pairs sales professionals with former executives at the companies they are targeting.,"3,994",http://www.emissary.io/,http://www.linkedin.com/company/spotcouncil,team@emissary.io,646.776.0501,David Hammer,Nov-50,2,Early Stage Venture,10/31/16,"$12,000,000 ",Series A,"$14,000,000 "
Great Jones,https://www.crunchbase.com/organization/great-jones,"Property Management, Real Estate, Rental, Rental Property","New York, New York, United States",Great Jones is creating a modern platform to serve the $2 trillion in rental homes owned by small-scale homeowners and investors.,"4,014",http://www.greatjones.co,https://www.linkedin.com/company/11216508/,hello@greatjones.co,,Jay Goldklang,Nov-50,2,Early Stage Venture,4/6/18,"$8,000,000 ",Series A,"$8,000,000 "
RubiconMD,https://www.crunchbase.com/organization/rubiconmd,"Health Care, Information Technology, mHealth","New York, New York, United States",RubiconMD is an innovative eConsult service that connects providers to same-day insights from top specialists.,"4,112",http://www.rubiconmd.com,http://www.linkedin.com/company/rubiconmd-inc-,info@rubiconmd.com,,"Carlos Reines, Gil Addo, Julien Pham",10-Jan,5,Early Stage Venture,4/19/18,"$13,800,000 ",Series B,"$19,870,000 "
